"","time_ak","full_O2","full_saturation_O2","full_chla","full_temperature","full_salinity","full_doy","approxPAR","time_gmt","air_tempC","bat_volt","bar_mbar","sw_rad_down","rel_humid","eg_tem_cal","wind_dir","wind_speed","wind_speed_U","wind_speed_V","compass","depth","lat","lon","doy.x","doy_frac","wind_uhat","wind_vhat","atm_pres_PA","ES","par_w_presPA","par_w_pres_mbar","wind_u","wind_v","ur","vr","Ur","zu","zt","zq","cp_wave","sigH_wave","zref_u","zref_t","zref_q","ts_ref_depth","adj_atmos_sw_up_all_surface_1h","adj_atmos_sw_down_all_surface_1h","adj_atmos_lw_up_all_surface_1h","adj_atmos_lw_down_all_surface_1h","adj_atmos_sw_up_clr_surface_1h","adj_atmos_sw_down_clr_surface_1h","adj_atmos_lw_up_clr_surface_1h","adj_atmos_lw_down_clr_surface_1h","adj_toa_par_down_all_1h","adj_sfc_par_direct_all_1h","adj_sfc_par_diff_all_1h","cer_lon360","cer_lat","time","ceresID","time_gmt_ceres","time_ak_initial","lon180","prcp_mm_hr_int","cb_mean_tempC_int","t","kz","N","h","do2_dz_at_MLD_smoothed_boosted","doy.y","fmlb_term_mumol_per_kg_per_second","h_smooth_meters","iz"
"1",2018-05-01 15:00:00,338.542822862442,93.8503460157645,1.14063168975469,3.7073147953158,32.0596695772006,121,NA,2018-05-02 00:00:00,3.8,13,1018.1,527,79,3,244.68361,5.1,4.6101975,2.1808438,246,3,56.8637,164.0655,121,121.666666666667,0.903960262910392,0.427616467268246,101810,8.0207184744819,633.63675948407,6.3363675948407,4.610197340843,2.18084398306806,4.610197340843,2.18084398306806,5.1,3,3,3,NA,NA,10,10,10,5,28.4375,670.787506103516,330.762496948242,257.974998474121,29.2375001907349,758.774993896484,330.399993896484,242.075004577637,332.112503051758,177.787498474121,111.375,196,56.5,6635.97900390625,1.5,2018-05-01 23:29:45,2018-05-01 15:29:45,-164,0.0125,3.8,NA,NA,NA,NA,NA,121,2.51e-05,16.04001682,600
"2",2018-05-01 16:00:00,340.833952656297,94.4206550246519,0.52885833001833,3.68524891638392,32.0387263252213,121,1035.6077,2018-05-02 01:00:00,4.1,13,1018,630,81,4,229.68361,4.6,3.5074232,2.9762363,256,3,56.8637,164.0655,121,121.708333333333,0.762483278155723,0.647007921537984,101800,8.19227802361003,663.574519912412,6.63574519912412,3.50742307951633,2.97623643907473,3.50742307951633,2.97623643907473,4.6,3,3,3,NA,NA,10,10,10,5,32.3875007629395,657.350006103516,331.050003051758,271.449996948242,29.7624998092651,708.875,330.412506103516,242.387504577637,314.737503051758,82.9874992370605,201.125,196,56.5,6636.02099609375,1.5,2018-05-02 00:30:14,2018-05-01 16:30:14,-164,0.0125,3.8,NA,NA,NA,NA,NA,121,2.09e-05,17.33310803,600
"3",2018-05-01 17:00:00,342.079871552495,94.6620482853733,0.760485025815026,3.64430455587206,32.0255750063225,121,1238.013,2018-05-02 02:00:00,4.1,13,1017.7,533,81,4,211.68361,4.7,2.4685729,3.9995184,237,3,56.8637,164.0655,121,121.75,0.525228247005641,0.850961390750122,101770,8.19227802361003,663.574519912412,6.63574519912412,2.46857276092651,3.99951853652557,2.46857276092651,3.99951853652557,4.7,3,3,3,NA,NA,10,10,10,5,31.4625005722046,542.412506103516,331.262512207031,280.162490844727,30.9125003814697,624.237487792969,330.4375,242.4375,282.762496948242,55.1875,181.137504577637,196,56.5,6636.0625,1.5,2018-05-02 01:30:00,2018-05-01 17:30:00,-164,0.0125,3.8,NA,NA,NA,NA,NA,121,1.76e-05,18.56566318,600
"4",2018-05-01 18:00:00,343.325790448693,94.9034415460948,0.992111721611722,3.6033601953602,32.0124236874237,121,1047.3983,2018-05-02 03:00:00,4,13,1017.3,329,82,4,205.68361,5.4,2.3403673,4.8664856,216,3,56.8637,164.0655,121,121.791666666667,0.43340130523779,0.901201036738296,101730,8.13472901708351,667.047779400848,6.67047779400848,2.34036704828407,4.8664855983868,2.34036704828407,4.8664855983868,5.4,3,3,3,NA,NA,10,10,10,5,30.1999988555908,452.924987792969,331.150009155273,275.962509155273,33.0625,504.699996948242,330.424987792969,242.737503051758,238.212501525879,36.6250009536743,159.724998474121,196,56.5,6636.10400390625,1.5,2018-05-02 02:29:45,2018-05-01 18:29:45,-164,0.0125,3.8,NA,NA,NA,NA,NA,121,1.49e-05,19.74691777,600
"5",2018-05-01 19:00:00,344.064635025995,94.8939276277066,0.956637834757835,3.51720169108669,31.9933013980464,121,646.5179,2018-05-02 04:00:00,3.6,13,1017.1,268,83,3,201.68361,5.9,2.1799378,5.482506,217,3,56.8637,164.0655,121,121.833333333333,0.369480954983491,0.929238303076497,101710,7.90814449227952,656.3759928592,6.563759928592,2.1799376344026,5.48250598815133,2.1799376344026,5.48250598815133,5.9,3,3,3,NA,NA,10,10,10,5,23.4125003814697,307.875,331.1875,275.024993896484,34.7999992370605,362.774993896484,330.462509155273,242.824996948242,184.137504577637,20.800000667572,112.012500762939,196,56.5,6636.14599609375,1.5,2018-05-02 03:30:14,2018-05-01 19:30:14,-164,0.0125,3.8,NA,NA,NA,NA,NA,121,1.27e-05,20.88330692,600
"6",2018-05-01 20:00:00,344.803479603297,94.8844137093184,0.921163947903948,3.43104318681319,31.9741791086691,121,526.6468,2018-05-02 05:00:00,3.7,13,1017,137,83,3,208.68361,5.2,2.4958575,4.561874,218,3,56.8637,164.0655,121,121.875,0.479972561836471,0.877283500291745,101700,7.96425291357624,661.032991826828,6.61032991826828,2.49585732154965,4.56187420151707,2.49585732154965,4.56187420151707,5.2,3,3,3,NA,NA,10,10,10,5,11.0999999046326,165.512504577637,331.300003051758,280.125,29.9875001907349,214.575004577637,330.475006103516,242.9375,124.224998474121,2.94999992847443,68.375,196,56.5,6636.1875,1.5,2018-05-02 04:30:00,2018-05-01 20:30:00,-164,0.0125,3.8,NA,NA,NA,NA,NA,121,1.09e-05,21.97925202,600
"7",2018-05-01 21:00:00,343.575285862862,95.0182019656966,1.60276912959936,3.62867947908152,31.9941375915246,121,269.2187,2018-05-02 06:00:00,3.5,13,1016.5,19,84,2,206.68361,4.7,2.1105983,4.1994495,247,3,56.8637,164.0655,121,121.916666666667,0.449063422894634,0.893499883725877,101650,7.85239122197014,659.600862645492,6.59600862645492,2.11059808760478,4.19944945351162,2.11059808760478,4.19944945351162,4.7,3,3,3,NA,NA,10,10,10,5,3.67500007152557,56.5125007629395,331.337509155273,282.949996948242,12.6125001907349,81.9375,330.462509155273,243.037498474121,62.5499992370605,0.699999988079071,22.7624998092651,196,56.5,6636.22900390625,1.5,2018-05-02 05:29:45,2018-05-01 21:29:45,-164,0.0125,3.8,NA,NA,NA,NA,NA,121,9.32e-06,23.03797566,600
"8",2018-05-01 22:00:00,342.347092122427,95.1519902220748,2.28437431129477,3.82631577134986,32.0140960743802,121,37.3369,2018-05-02 07:00:00,3.5,13,1016.3,0,85,2,196.68361,4.1,1.1770549,3.927409,190,3,56.8637,164.0655,121,121.958333333333,0.287086513906223,0.957904657851277,101630,7.85239122197014,667.453253867462,6.67453253867462,1.17705470701552,3.92740909719023,1.17705470701552,3.92740909719023,4.1,3,3,3,NA,NA,10,10,10,5,0.287499994039536,4.55000007152557,331.662490844727,295.962509155273,0.6875,6.98749995231628,330.512496948242,244.075004577637,8.98749995231628,0,1.66250002384186,196,56.5,6636.27099609375,1.5,2018-05-02 06:30:14,2018-05-01 22:30:14,-164,0.0125,3.8,NA,NA,NA,NA,NA,121,7.95e-06,24.06168216,600
"9",2018-05-01 23:00:00,341.737211797508,95.0120882715219,1.92057402552884,3.836834621825,32.029332123996,121.333333333333,0,2018-05-02 08:00:00,3.3,13,1015.9,-1,85,2,172.68361,4.1,-0.52212805,4.066618,181,3,56.8637,164.0655,122,122,-0.127348344191622,0.991858053973275,101590,7.74194222705021,658.065089299267,6.58065089299267,-0.522128211185652,4.06661802129043,-0.522128211185652,4.06661802129043,4.1,3,3,3,NA,NA,10,10,10,5,0,0,331.649993896484,295.649993896484,0,0,330.512496948242,244.0625,0,0,0,196,56.5,6636.3125,1.5,2018-05-02 07:30:00,2018-05-01 23:30:00,-164,0.0125,3.8,NA,NA,NA,NA,NA,121,6.74e-06,25.05206782,600
"10",2018-05-02 00:00:00,341.127331472589,94.872186320969,1.55677373976291,3.84735347230013,32.0445681736119,121.666666666667,0,2018-05-02 09:00:00,3.4,13,1015.2,-1,87,2,167.68361,4.6,-0.9812252,4.494129,171,3,56.8637,164.0655,122,122.041666666667,-0.213309870688744,0.976984595102068,101520,7.79699112347848,678.338227742628,6.78338227742628,-0.981225405168224,4.49412913746951,-0.981225405168224,4.49412913746951,4.6,3,3,3,NA,NA,10,10,10,5,0,0,332.174987792969,317.949996948242,0,0,330.537490844727,245.100006103516,0,0,0,196,56.5,6636.35400390625,1.5,2018-05-02 08:29:45,2018-05-02 00:29:45,-164,0.0416666666666667,4.3,"02-May-2018 08:00:00",NA,0.00242063430426789,25.0520678224884,0.196186412802826,122,5.67e-06,26.01028629,600
